Homemade Cafe 37.8622585,-122.2835466 1
Bette's Oceanview Diner 37.8698197,-122.3004705 1
Montclair Egg Shop 37.8270695,-122.2104356 1
Cafe McBryde 37.9476609,-122.332341 1
Saul's 37.880686,-122.2696082 1
Ole's Alameda Waffle Shop 37.765695,-122.2418923 1
Lama Beans 37.8795716,-122.3017091 1
Royal Cafe 37.8914018,-122.3011782 1
Doyle Street Cafe 37.8381956,-122.2890926 1
Sam's Log Cabin 37.888616,-122.3003397 1
Buttercup 37.7965839,-122.2764558 1
Emery Bay Cafe 37.8397916,-122.2976669 2
Rudy's 37.831108,-122.2864092 2
IHOP 37.8319601,-122.2819479 2
Venus 37.8670816,-122.2673394 2
Cafe Leila  37.8725562,-122.2957645 2
The Vault 37.849502,-122.2716769 2
North Side Cafe 37.8751044,-122.260473 2
Mama's Royal Cafe 37.8277957,-122.2564377 2
Pretty Lady 37.8140455,-122.2943069 2
Rockridge Cafe 37.8423174,-122.251453 2
Cafe Durant 37.867976,-122.2587962 2
Savory Kitchen 37.8653616,-122.260528 2
Kaiser Oakland Cafeteria 37.8239996,-122.2587172 2
Sconehenge 37.8586706,-122.2689478 2
Gilman Grill 37.8787881,-122.3057736 2
Nibs 37.821705,-122.2766392 2
Coffee Mill 37.8137273,-122.2489931 2
Sunny Side Cafe 37.8701898,-122.2682014 3
Broom Bush 37.8567619,-122.2901559 3
Sunny Side Up 37.8911078,-122.2897769 3
Piedmont Bakery 37.8260514,-122.2548581 3
Lois the Pie Queen 37.8447805,-122.2751419 3
Pollo 37.8710927,-122.2701476 3
Rick & Ann's 37.8585587,-122.2463466 3
Front Porch Cafe 37.822089,-122.2793287 3
Berkeley Social Club 37.87189,-122.2700772 3
